--------------------results---------------------
man_speed,car_speed,average_time_use_of_method_1,average_time_use_of_method_2,average_time_use_of_method_3
1.000000,3.000000,120.053200,107.063920,80.400320
1.000000,3.100000,123.555860,109.917116,81.920336
1.000000,3.200000,127.058520,112.770312,83.440352
1.000000,3.300000,130.561180,115.623508,84.960368
1.000000,3.400000,134.063840,118.476704,86.480384
1.000000,3.500000,137.566500,121.329900,88.000400
1.000000,3.600000,141.069160,124.183096,89.520416
1.000000,3.700000,144.571820,127.036292,91.040432
1.000000,3.800000,148.074480,129.889488,92.560448
1.000000,3.900000,151.577140,132.742684,94.080464
1.000000,4.000000,155.079800,135.595880,95.600480
1.000000,4.100000,158.582460,138.449076,97.120496
1.000000,4.200000,162.085120,141.302272,98.640512
1.000000,4.300000,165.587780,144.155468,100.160528
1.000000,4.400000,169.090440,147.008664,101.680544
1.000000,4.500000,172.593100,149.861860,103.200560
1.000000,4.600000,176.095760,152.715056,104.720576
1.000000,4.700000,179.598420,155.568252,106.240592
1.000000,4.800000,183.101080,158.421448,107.760608
1.000000,4.900000,186.603740,161.274644,109.280624
1.100000,3.000000,121.550540,109.210724,83.880304
1.100000,3.100000,125.053200,112.063920,85.400320
1.100000,3.200000,128.555860,114.917116,86.920336
1.100000,3.300000,132.058520,117.770312,88.440352
1.100000,3.400000,135.561180,120.623508,89.960368
1.100000,3.500000,139.063840,123.476704,91.480384
1.100000,3.600000,142.566500,126.329900,93.000400
1.100000,3.700000,146.069160,129.183096,94.520416
1.100000,3.800000,149.571820,132.036292,96.040432
1.100000,3.900000,153.074480,134.889488,97.560448
1.100000,4.000000,156.577140,137.742684,99.080464
1.100000,4.100000,160.079800,140.595880,100.600480
1.100000,4.200000,163.582460,143.449076,102.120496
1.100000,4.300000,167.085120,146.302272,103.640512
1.100000,4.400000,170.587780,149.155468,105.160528
1.100000,4.500000,174.090440,152.008664,106.680544
1.100000,4.600000,177.593100,154.861860,108.200560
1.100000,4.700000,181.095760,157.715056,109.720576
1.100000,4.800000,184.598420,160.568252,111.240592
1.100000,4.900000,188.101080,163.421448,112.760608
1.200000,3.000000,123.047880,111.357528,87.360288
1.200000,3.100000,126.550540,114.210724,88.880304
1.200000,3.200000,130.053200,117.063920,90.400320
1.200000,3.300000,133.555860,119.917116,91.920336
1.200000,3.400000,137.058520,122.770312,93.440352
1.200000,3.500000,140.561180,125.623508,94.960368
1.200000,3.600000,144.063840,128.476704,96.480384
1.200000,3.700000,147.566500,131.329900,98.000400
1.200000,3.800000,151.069160,134.183096,99.520416
1.200000,3.900000,154.571820,137.036292,101.040432
1.200000,4.000000,158.074480,139.889488,102.560448
1.200000,4.100000,161.577140,142.742684,104.080464
1.200000,4.200000,165.079800,145.595880,105.600480
1.200000,4.300000,168.582460,148.449076,107.120496
1.200000,4.400000,172.085120,151.302272,108.640512
1.200000,4.500000,175.587780,154.155468,110.160528
1.200000,4.600000,179.090440,157.008664,111.680544
1.200000,4.700000,182.593100,159.861860,113.200560
1.200000,4.800000,186.095760,162.715056,114.720576
1.200000,4.900000,189.598420,165.568252,116.240592
1.300000,3.000000,124.545220,113.504332,90.840272
1.300000,3.100000,128.047880,116.357528,92.360288
1.300000,3.200000,131.550540,119.210724,93.880304
1.300000,3.300000,135.053200,122.063920,95.400320
1.300000,3.400000,138.555860,124.917116,96.920336
1.300000,3.500000,142.058520,127.770312,98.440352
1.300000,3.600000,145.561180,130.623508,99.960368
1.300000,3.700000,149.063840,133.476704,101.480384
1.300000,3.800000,152.566500,136.329900,103.000400
1.300000,3.900000,156.069160,139.183096,104.520416
1.300000,4.000000,159.571820,142.036292,106.040432
1.300000,4.100000,163.074480,144.889488,107.560448
1.300000,4.200000,166.577140,147.742684,109.080464
1.300000,4.300000,170.079800,150.595880,110.600480
1.300000,4.400000,173.582460,153.449076,112.120496
1.300000,4.500000,177.085120,156.302272,113.640512
1.300000,4.600000,180.587780,159.155468,115.160528
1.300000,4.700000,184.090440,162.008664,116.680544
1.300000,4.800000,187.593100,164.861860,118.200560
1.300000,4.900000,191.095760,167.715056,119.720576
1.400000,3.000000,126.042560,115.651136,94.320256
1.400000,3.100000,129.545220,118.504332,95.840272
1.400000,3.200000,133.047880,121.357528,97.360288
1.400000,3.300000,136.550540,124.210724,98.880304
1.400000,3.400000,140.053200,127.063920,100.400320
1.400000,3.500000,143.555860,129.917116,101.920336
1.400000,3.600000,147.058520,132.770312,103.440352
1.400000,3.700000,150.561180,135.623508,104.960368
1.400000,3.800000,154.063840,138.476704,106.480384
1.400000,3.900000,157.566500,141.329900,108.000400
1.400000,4.000000,161.069160,144.183096,109.520416
1.400000,4.100000,164.571820,147.036292,111.040432
1.400000,4.200000,168.074480,149.889488,112.560448
1.400000,4.300000,171.577140,152.742684,114.080464
1.400000,4.400000,175.079800,155.595880,115.600480
1.400000,4.500000,178.582460,158.449076,117.120496
1.400000,4.600000,182.085120,161.302272,118.640512
1.400000,4.700000,185.587780,164.155468,120.160528
1.400000,4.800000,189.090440,167.008664,121.680544
1.400000,4.900000,192.593100,169.861860,123.200560
1.500000,3.000000,127.539900,117.797940,97.800240
1.500000,3.100000,131.042560,120.651136,99.320256
1.500000,3.200000,134.545220,123.504332,100.840272
1.500000,3.300000,138.047880,126.357528,102.360288
1.500000,3.400000,141.550540,129.210724,103.880304
1.500000,3.500000,145.053200,132.063920,105.400320
1.500000,3.600000,148.555860,134.917116,106.920336
1.500000,3.700000,152.058520,137.770312,108.440352
1.500000,3.800000,155.561180,140.623508,109.960368
1.500000,3.900000,159.063840,143.476704,111.480384
1.500000,4.000000,162.566500,146.329900,113.000400
1.500000,4.100000,166.069160,149.183096,114.520416
1.500000,4.200000,169.571820,152.036292,116.040432
1.500000,4.300000,173.074480,154.889488,117.560448
1.500000,4.400000,176.577140,157.742684,119.080464
1.500000,4.500000,180.079800,160.595880,120.600480
1.500000,4.600000,183.582460,163.449076,122.120496
1.500000,4.700000,187.085120,166.302272,123.640512
